Far field
"Theta"[deg]	"FarField1 [m^2]"	
-9.00000000E+01	4.67610213E-12	
-8.90000000E+01	2.85945119E-08	
-8.80000000E+01	1.14361513E-07	
-8.70000000E+01	2.57295122E-07	
-8.60000000E+01	4.57377352E-07	
-8.50000000E+01	7.14582237E-07	
-8.40000000E+01	1.02887505E-06	
-8.30000000E+01	1.40021131E-06	
-8.20000000E+01	1.82853558E-06	
-8.10000000E+01	2.31378001E-06	
-8.00000000E+01	2.85586275E-06	
-7.90000000E+01	3.45468611E-06	
-7.80000000E+01	4.11013450E-06	
-7.70000000E+01	4.82207225E-06	
-7.60000000E+01	5.59034117E-06	
-7.50000000E+01	6.41475801E-06	
-7.40000000E+01	7.29511170E-06	
-7.30000000E+01	8.23116046E-06	
-7.20000000E+01	9.22262876E-06	
-7.10000000E+01	1.02692041E-05	
-7.00000000E+01	1.13705340E-05	
-6.90000000E+01	1.25262220E-05	
-6.80000000E+01	1.37358249E-05	
-6.70000000E+01	1.49988487E-05	
-6.60000000E+01	1.63147454E-05	
-6.50000000E+01	1.76829091E-05	
-6.40000000E+01	1.91026721E-05	
-6.30000000E+01	2.05733021E-05	
-6.20000000E+01	2.20939977E-05	
-6.10000000E+01	2.36638855E-05	
-6.00000000E+01	2.52820161E-05	
-5.90000000E+01	2.69473611E-05	
-5.80000000E+01	2.86588097E-05	
-5.70000000E+01	3.04151657E-05	
-5.60000000E+01	3.22151443E-05	
-5.50000000E+01	3.40573698E-05	
-5.40000000E+01	3.59403724E-05	
-5.30000000E+01	3.78625870E-05	
-5.20000000E+01	3.98223499E-05	
-5.10000000E+01	4.18178985E-05	
-5.00000000E+01	4.38473687E-05	
-4.90000000E+01	4.59087947E-05	
-4.80000000E+01	4.80001082E-05	
-4.70000000E+01	5.01191376E-05	
-4.60000000E+01	5.22636092E-05	
-4.50000000E+01	5.44311466E-05	
-4.40000000E+01	5.66192727E-05	
-4.30000000E+01	5.88254106E-05	
-4.20000000E+01	6.10468858E-05	
-4.10000000E+01	6.32809284E-05	
-4.00000000E+01	6.55246766E-05	
-3.90000000E+01	6.77751793E-05	
-3.80000000E+01	7.00294008E-05	
-3.70000000E+01	7.22842248E-05	
-3.60000000E+01	7.45364595E-05	
-3.50000000E+01	7.67828429E-05	
-3.40000000E+01	7.90200489E-05	
-3.30000000E+01	8.12446936E-05	
-3.20000000E+01	8.34533423E-05	
-3.10000000E+01	8.56425165E-05	
-3.00000000E+01	8.78087021E-05	
-2.90000000E+01	8.99483575E-05	
-2.80000000E+01	9.20579217E-05	
-2.70000000E+01	9.41338238E-05	
-2.60000000E+01	9.61724919E-05	
-2.50000000E+01	9.81703628E-05	
-2.40000000E+01	1.00123892E-04	
-2.30000000E+01	1.02029562E-04	
-2.20000000E+01	1.03883897E-04	
-2.10000000E+01	1.05683466E-04	
-2.00000000E+01	1.07424901E-04	
-1.90000000E+01	1.09104902E-04	
-1.80000000E+01	1.10720249E-04	
-1.70000000E+01	1.12267814E-04	
-1.60000000E+01	1.13744568E-04	
-1.50000000E+01	1.15147593E-04	
-1.40000000E+01	1.16474094E-04	
-1.30000000E+01	1.17721404E-04	
-1.20000000E+01	1.18886995E-04	
-1.10000000E+01	1.19968490E-04	
-1.00000000E+01	1.20963667E-04	
-9.00000000E+00	1.21870469E-04	
-8.00000000E+00	1.22687010E-04	
-7.00000000E+00	1.23411587E-04	
-6.00000000E+00	1.24042678E-04	
-5.00000000E+00	1.24578955E-04	
-4.00000000E+00	1.25019284E-04	
-3.00000000E+00	1.25362733E-04	
-2.00000000E+00	1.25608571E-04	
-1.00000000E+00	1.25756277E-04	
0.00000000E+00	1.25805535E-04	
1.00000000E+00	1.25756241E-04	
2.00000000E+00	1.25608500E-04	
3.00000000E+00	1.25362627E-04	
4.00000000E+00	1.25019144E-04	
5.00000000E+00	1.24578782E-04	
6.00000000E+00	1.24042474E-04	
7.00000000E+00	1.23411353E-04	
8.00000000E+00	1.22686748E-04	
9.00000000E+00	1.21870180E-04	
1.00000000E+01	1.20963354E-04	
1.10000000E+01	1.19968155E-04	
1.20000000E+01	1.18886641E-04	
1.30000000E+01	1.17721032E-04	
1.40000000E+01	1.16473707E-04	
1.50000000E+01	1.15147193E-04	
1.60000000E+01	1.13744157E-04	
1.70000000E+01	1.12267395E-04	
1.80000000E+01	1.10719823E-04	
1.90000000E+01	1.09104471E-04	
2.00000000E+01	1.07424467E-04	
2.10000000E+01	1.05683031E-04	
2.20000000E+01	1.03883461E-04	
2.30000000E+01	1.02029128E-04	
2.40000000E+01	1.00123459E-04	
2.50000000E+01	9.81699331E-05	
2.60000000E+01	9.61720657E-05	
2.70000000E+01	9.41334016E-05	
2.80000000E+01	9.20575040E-05	
2.90000000E+01	8.99479444E-05	
3.00000000E+01	8.78082938E-05	
3.10000000E+01	8.56421129E-05	
3.20000000E+01	8.34529433E-05	
3.30000000E+01	8.12442992E-05	
3.40000000E+01	7.90196589E-05	
3.50000000E+01	7.67824570E-05	
3.60000000E+01	7.45360775E-05	
3.70000000E+01	7.22838464E-05	
3.80000000E+01	7.00290259E-05	
3.90000000E+01	6.77748076E-05	
4.00000000E+01	6.55243081E-05	
4.10000000E+01	6.32805630E-05	
4.20000000E+01	6.10465235E-05	
