Far field
"Theta"[deg]	"FarField1 [m^2]"	
-9.00000000E+01	6.79158290E-12	
-8.90000000E+01	1.80157922E-08	
-8.80000000E+01	7.20466019E-08	
-8.70000000E+01	1.62110003E-07	
-8.60000000E+01	2.88223654E-07	
-8.50000000E+01	4.50411632E-07	
-8.40000000E+01	6.48703791E-07	
-8.30000000E+01	8.83134940E-07	
-8.20000000E+01	1.15374384E-06	
-8.10000000E+01	1.46057204E-06	
-8.00000000E+01	1.80366251E-06	
-7.90000000E+01	2.18305812E-06	
-7.80000000E+01	2.59879997E-06	
-7.70000000E+01	3.05092552E-06	
-7.60000000E+01	3.53946658E-06	
-7.50000000E+01	4.06444718E-06	
-7.40000000E+01	4.62588120E-06	
-7.30000000E+01	5.22376998E-06	
-7.20000000E+01	5.85809973E-06	
-7.10000000E+01	6.52883879E-06	
-7.00000000E+01	7.23593483E-06	
-6.90000000E+01	7.97931194E-06	
-6.80000000E+01	8.75886757E-06	
-6.70000000E+01	9.57446947E-06	
-6.60000000E+01	1.04259525E-05	
-6.50000000E+01	1.13131153E-05	
-6.40000000E+01	1.22357171E-05	
-6.30000000E+01	1.31934746E-05	
-6.20000000E+01	1.41860582E-05	
-6.10000000E+01	1.52130890E-05	
-6.00000000E+01	1.62741355E-05	
-5.90000000E+01	1.73687102E-05	
-5.80000000E+01	1.84962665E-05	
-5.70000000E+01	1.96561955E-05	
-5.60000000E+01	2.08478233E-05	
-5.50000000E+01	2.20704074E-05	
-5.40000000E+01	2.33231348E-05	
-5.30000000E+01	2.46051187E-05	
-5.20000000E+01	2.59153966E-05	
-5.10000000E+01	2.72529280E-05	
-5.00000000E+01	2.86165921E-05	
-4.90000000E+01	3.00051866E-05	
-4.80000000E+01	3.14174261E-05	
-4.70000000E+01	3.28519408E-05	
-4.60000000E+01	3.43072761E-05	
-4.50000000E+01	3.57818919E-05	
-4.40000000E+01	3.72741626E-05	
-4.30000000E+01	3.87823773E-05	
-4.20000000E+01	4.03047407E-05	
-4.10000000E+01	4.18393742E-05	
-4.00000000E+01	4.33843172E-05	
-3.90000000E+01	4.49375295E-05	
-3.80000000E+01	4.64968934E-05	
-3.70000000E+01	4.80602166E-05	
-3.60000000E+01	4.96252359E-05	
